Codigo;Rubro;Detalle Articulo;Minorista;Mayorista;AMODIL;EL TANO;VIVANCO;GLORIAS;POMPEYA;BRAZZI;JUANCHOS;GUERE GUERE/ABUELO;TUTTO SAN FER;RINCON / LINIERS;JOAQUIN CHINO;VILLA TERRA;;;Costeo Mercaderia sin MO;Gastos Generales Sacado del informe mensual;Costo Total ;;;;;;;;;
0225;ESPECIALES;CROISSANT X UNIDAD JAMON Y QUESO; $ 11.100,00 ; $ 8.910,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.430,00 ; $ -   ; $ 5.550,00 ;;; $ -   ; $ -   ; $ -   ;;;0225;ESPECIALES;CROISSANT X UNIDAD JAMON Y QUESO;;;;
0203;ESPECIALES;MINI CHIPA; $ -   ; $ -   ; $ -   ; $ -   ; $ 462,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;; $ 122,77 ; $ 30,69 ; $ 153,46 ;;;0203;ESPECIALES;MINI CHIPA;;;;
0204;ESPECIALES;CHIPA  X UNIDAD; $ 1.400,00 ; $ 605,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 583,00 ; $ 440,00 ; $ -   ; $ -   ; $ 462,00 ; $ -   ; $ 700,00 ;;; $ 245,54 ; $ 61,38 ; $ 306,92 ;;;0204;ESPECIALES;CHIPA  X UNIDAD;;;;
0205;ESPECIALES;CHIPA  X 6; $ 5.600,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.800,00 ;;; $ 1.473,24 ; $ 368,31 ; $ 1.841,54 ;;;0205;ESPECIALES;CHIPA  X 6;;;;
0206;ESPECIALES;BIZCOCHO DE GRASA; $ 20.700,00 ; $ 9.900,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 7.590,00 ; $ -   ; $ 10.350,00 ;;; $ 678,54 ; $ 169,64 ; $ 848,18 ;;;0206;ESPECIALES;BIZCOCHO DE GRASA;;;;
0207;ESPECIALES;BIZCOCHO/CUERNITO DE GRASA  X 1/4; $ 5.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.850,00 ;;; $ 169,64 ; $ 42,41 ; $ 212,04 ;;;0207;ESPECIALES;BIZCOCHO/CUERNITO DE GRASA  X 1/4;;;;
0208;ESPECIALES;BIZCOCHO DE QUESO; $ 24.300,00 ; $ 9.900,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 9.900,00 ; $ -   ; $ -   ; $ -   ; $ 8.250,00 ; $ -   ; $ 12.150,00 ;;; $ 678,54 ; $ 169,64 ; $ 848,18 ;;;0208;ESPECIALES;BIZCOCHO DE QUESO;;;;
0209;ESPECIALES;BIZCOCHO DE QUESO X 1/4; $ 6.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.100,00 ;;; $ 169,64 ; $ 42,41 ; $ 212,04 ;;;0209;ESPECIALES;BIZCOCHO DE QUESO X 1/4;;;;
0229;ESPECIALES;CUERNITOS DE GRASA X KG; $ 20.700,00 ; $ 9.900,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 7.590,00 ; $ -   ; $ 10.350,00 ;;; $ 908,76 ; $ 227,19 ; $ 1.135,95 ;;;0229;ESPECIALES;CUERNITOS DE GRASA X KG;;;;
0230;ESPECIALES;CUERNITOS DE GRASA X 1/4; $ 5.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.850,00 ;;; $ 227,19 ; $ 56,80 ; $ 283,99 ;;;0230;ESPECIALES;CUERNITOS DE GRASA X 1/4;;;;
0210;ESPECIALES;GALLETA DE GRASA; $ 9.400,00 ; $ 3.080,00 ; $ 2.310,00 ; $ 1.650,00 ; $ -   ; $ -   ; $ 3.630,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.970,00 ; $ 1.870,00 ; $ 4.700,00 ;;; $ 324,40 ; $ 81,10 ; $ 405,50 ;;;0210;ESPECIALES;GALLETA DE GRASA;;;;
0211;ESPECIALES;GALLETA DE GRASA X 1/4; $ 2.400,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.200,00 ;;; $ 81,10 ; $ 20,27 ; $ 101,37 ;;;0211;ESPECIALES;GALLETA DE GRASA X 1/4;;;;
0223;ESPECIALES;GALLETA DE GRASA C/QUESO X KG; $ 18.200,00 ; $ 12.320,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ 9.100,00 ;;; $ 1.013,15 ; $ 253,29 ; $ 1.266,44 ;;;0223;ESPECIALES;GALLETA DE GRASA C/QUESO X KG;;;;
0214;ESPECIALES;GALLETA DE CHICHARRON X 1/4; $ 2.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.250,00 ;;; $ 204,67 ; $ 51,17 ; $ 255,84 ;;;0214;ESPECIALES;GALLETA DE CHICHARRON X 1/4;;;;
0226;ESPECIALES;GALLETA DE GRASA CON CHICHARRON; $ 11.100,00 ; $ 3.960,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.970,00 ; $ -   ; $ 5.550,00 ;;; $ 818,68 ; $ 204,67 ; $ 1.023,35 ;;;0226;ESPECIALES;GALLETA DE GRASA CON CHICHARRON;;;;
0212;ESPECIALES;FOCACCIA X UN; $ 5.700,00 ; $ 4.180,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.070,00 ; $ -   ; $ 3.630,00 ; $ -   ; $ 2.970,00 ; $ 3.850,00 ; $ 2.850,00 ;;; $ 1.685,14 ; $ 421,29 ; $ 2.106,43 ;;;0212;ESPECIALES;FOCACCIA X UN;;;;
0215;ESPECIALES;TALITAS KG; $ 16.600,00 ; $ 7.260,00 ; $ -   ; $ -   ; $ 7.260,00 ; $ -   ; $ -   ; $ 7.260,00 ; $ 6.710,00 ; $ 7.260,00 ; $ -   ; $ 6.380,00 ; $ 8.140,00 ; $ 8.300,00 ;;; $ 3.190,98 ; $ 797,74 ; $ 3.988,72 ;;;0215;ESPECIALES;TALITAS KG;;;;
0216;ESPECIALES;MARINERAS / MEXICANITOS/GRISINES X 1/4; $ 4.100,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.970,00 ; $ -   ; $ 2.050,00 ;;; $ 797,74 ; $ 199,44 ; $ 997,18 ;;;0216;ESPECIALES;MARINERAS / MEXICANITOS/GRISINES X 1/4;;;;
0231;ESPECIALES;GRISINES KG; $ 16.600,00 ; $ 5.170,00 ; $ -   ; $ -   ; $ 5.170,00 ; $ -   ; $ -   ; $ 5.170,00 ; $ 4.730,00 ; $ 5.170,00 ; $ -   ; $ 4.070,00 ; $ 5.830,00 ; $ 8.300,00 ;;; $ 917,66 ; $ 229,42 ; $ 1.147,08 ;;;0231;ESPECIALES;GRISINES KG;;;;
0232;ESPECIALES;MEXICANITOS KG; $ 16.600,00 ; $ 5.170,00 ; $ -   ; $ -   ; $ 5.170,00 ; $ -   ; $ -   ; $ 5.170,00 ; $ 4.730,00 ; $ 5.170,00 ; $ -   ; $ 4.070,00 ; $ 5.830,00 ; $ 8.300,00 ;;; $ -   ; $ -   ; $ -   ;;;0232;ESPECIALES;MEXICANITOS KG;;;;
0218;ESPECIALES;TORTA FRITA X UNIDAD; $ 700,00 ; $ 121,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 121,00 ; $ -   ; $ 121,00 ; $ 242,00 ; $ 350,00 ;;; $ 29,41 ; $ 7,35 ; $ 36,76 ;;;0218;ESPECIALES;TORTA FRITA X UNIDAD;;;;
0219;ESPECIALES;TORTA FRITA X 2; $ 1.100,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 550,00 ;;; $ 58,81 ; $ 14,70 ; $ 73,51 ;;;0219;ESPECIALES;TORTA FRITA X 2;;;;
0220;ESPECIALES;TORTA FRITA X 6; $ 2.400,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.200,00 ;;; $ 176,44 ; $ 44,11 ; $ 220,54 ;;;0220;ESPECIALES;TORTA FRITA X 6;;;;
0221;ESPECIALES;TORTA FRITA X 12; $ 4.400,00 ; $ 2.530,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.200,00 ;;; $ 352,87 ; $ 88,22 ; $ 441,09 ;;;0221;ESPECIALES;TORTA FRITA X 12;;;;
0224;ESPECIALES;TRENSAS X UN; $ 5.600,00 ; $ 3.960,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.430,00 ; $ -   ; $ 2.800,00 ;;; $ 399,22 ; $ 99,80 ; $ 499,02 ;;;0224;ESPECIALES;TRENSAS X UN;;;;
0227;ESPECIALES;PAN DE LECHE X UNIDAD; $ 5.800,00 ; $ 4.620,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.630,00 ; $ -   ; $ 2.900,00 ;;; $ 1.900,37 ; $ 475,09 ; $ 2.375,46 ;;;0227;ESPECIALES;PAN DE LECHE X UNIDAD;;;;
0233;ESPECIALES;GRISINES/TALITAS/MEXICANITOS; $ 16.600,00 ; $ 5.170,00 ; $ -   ; $ -   ; $ 5.170,00 ; $ -   ; $ -   ; $ 5.170,00 ; $ 4.730,00 ; $ 5.170,00 ; $ -   ; $ 4.070,00 ; $ 5.830,00 ; $ 8.300,00 ;;; $ -   ; $ -   ; $ -   ;;;0233;ESPECIALES;GRISINES/TALITAS/MEXICANITOS;;;;
0234;ESPECIALES;GRISIN LARGO; $ 16.600,00 ; $ 5.170,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 5.170,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 8.300,00 ;;; $ 917,66 ;;;;;0234;ESPECIALES;GRISIN LARGO;;;;
0235;ESPECIALES;PAN BAGUETIN VIENA (PRECOCIDO); $ -   ; $ 1.980,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;0235;ESPECIALES;PAN BAGUETIN VIENA (PRECOCIDO);;;;
0236;ESPECIALES;PAN BAGUETIN (PRECOCIDO); $ -   ; $ 1.980,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;0236;ESPECIALES;PAN BAGUETIN (PRECOCIDO);;;;
;;CREMONAS; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;CREMONAS;;;;
0301;CREMONAS;CREMONA CHICA X UNIDAD; $ 500,00 ; $ 352,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 231,00 ; $ -   ; $ 250,00 ;;; $ 101,35 ; $ 25,34 ; $ 126,69 ;;;0301;CREMONAS;CREMONA CHICA X UNIDAD;;;;
0304;CREMONAS;CREMONA SOLA; $ 2.400,00 ; $ 1.760,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.430,00 ; $ 1.540,00 ; $ -   ; $ -   ; $ 1.540,00 ; $ -   ; $ 1.200,00 ;;; $ 741,57 ; $ 185,39 ; $ 926,96 ;;;0304;CREMONAS;CREMONA SOLA;;;;
0305;CREMONAS;CREMONA DULCE; $ 3.300,00 ; $ 1.760,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.650,00 ; $ -   ; $ -   ; $ 1.650,00 ; $ -   ; $ 1.650,00 ;;; $ 789,26 ; $ 197,31 ; $ 986,57 ;;;0305;CREMONAS;CREMONA DULCE;;;;
0306;CREMONAS;CREMONA CHICHA; $ 3.300,00 ; $ 1.760,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.650,00 ; $ -   ; $ -   ; $ 1.650,00 ; $ -   ; $ 1.650,00 ;;; $ 861,57 ; $ 215,39 ; $ 1.076,96 ;;;0306;CREMONAS;CREMONA CHICHA;;;;
0307;CREMONAS;CREMONA DE JAMON Y QUESO; $ 3.500,00 ; $ 2.860,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ -   ; $ -   ; $ 2.200,00 ; $ -   ; $ 1.750,00 ;;; $ 894,23 ; $ 223,56 ; $ 1.117,78 ;;;0307;CREMONAS;CREMONA DE JAMON Y QUESO;;;;
0308;CREMONAS;CREMONA CHICA C / CHICHARRON; $ 700,00 ; $ 352,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 231,00 ; $ -   ; $ 350,00 ;;;  ;;;;;0308;CREMONAS;CREMONA CHICA C / CHICHARRON;;;;
;;PREPIZZA; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;PREPIZZA;;;;
0401;PREPIZZA;PREPIZZA TOMATE; $ 1.500,00 ; $ 880,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 825,00 ; $ -   ; $ 825,00 ; $ 825,00 ; $ -   ; $ 693,00 ; $ 1.045,00 ; $ 750,00 ;;; $ 311,20 ; $ 77,80 ; $ 389,00 ;;;0401;PREPIZZA;PREPIZZA TOMATE;;;;
0402;PREPIZZA;PREPIZZA TOMATE X2; $ 2.400,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.200,00 ;;; $ 622,40 ; $ 155,60 ; $ 778,00 ;;;0402;PREPIZZA;PREPIZZA TOMATE X2;;;;
0403;PREPIZZA;PREPIZZA CEBOLLA ; $ 1.500,00 ; $ 935,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 825,00 ; $ 825,00 ; $ -   ; $ 693,00 ; $ 1.045,00 ; $ 750,00 ;;; $ 492,20 ; $ 123,05 ; $ 615,25 ;;;0403;PREPIZZA;PREPIZZA CEBOLLA ;;;;
0404;PREPIZZA;PREPIZZA CEBOLLA X2; $ 2.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.250,00 ;;; $ 984,40 ; $ 246,10 ; $ 1.230,50 ;;;0404;PREPIZZA;PREPIZZA CEBOLLA X2;;;;
0405;PREPIZZA;PREPIZZA INDIVIDUAL; $ 700,00 ; $ 605,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 484,00 ; $ -   ; $ 693,00 ; $ 583,00 ; $ 350,00 ;;; $ 157,67 ; $ 39,42 ; $ 197,08 ;;;0405;PREPIZZA;PREPIZZA INDIVIDUAL;;;;
0406;PREPIZZA;PREPIZZA INDIVIDUAL X2; $ 1.300,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 650,00 ;;; $ 315,33 ; $ 78,83 ; $ 394,17 ;;;0406;PREPIZZA;PREPIZZA INDIVIDUAL X2;;;;
0407;PREPIZZA;PREPIZZA SALVADO; $ 2.000,00 ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 825,00 ; $ -   ; $ 693,00 ; $ 1.045,00 ; $ 1.000,00 ;;; $ 192,35 ; $ 48,09 ; $ 240,44 ;;;0407;PREPIZZA;PREPIZZA SALVADO;;;;
0408;PREPIZZA;PIZZETA X 12 UNID.; $ 2.200,00 ; $ 1.430,00 ; $ -   ; $ -   ; $ 1.210,00 ; $ -   ; $ -   ; $ -   ; $ 2.860,00 ; $ 1.320,00 ; $ -   ; $ 1.430,00 ; $ 1.430,00 ; $ 1.100,00 ;;; $ 482,00 ; $ 120,50 ; $ 602,50 ;;;0408;PREPIZZA;PIZZETA X 12 UNID.;;;;
0409;PREPIZZA;PREPIZZA MIXTA; $ 1.500,00 ; $ 935,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.210,00 ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ 693,00 ; $ -   ; $ 750,00 ;;; $ 401,70 ; $ 100,43 ; $ 502,13 ;;;0409;PREPIZZA;PREPIZZA MIXTA;;;;
0410;PREPIZZA;PREPIZZA MIXTA X 2; $ 2.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.090,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.250,00 ;;; $ 803,40 ; $ 200,85 ; $ 1.004,25 ;;;0410;PREPIZZA;PREPIZZA MIXTA X 2;;;;
0411;PREPIZZA;PLANCHA DE PIZZA; $ 4.100,00 ; $ 2.530,00 ; $ 2.530,00 ; $ -   ; $ 1.760,00 ; $ 2.530,00 ; $ 2.530,00 ; $ 2.530,00 ; $ 2.860,00 ; $ 2.530,00 ; $ 2.530,00 ; $ 2.750,00 ; $ 2.860,00 ; $ 2.050,00 ;;; $ 592,22 ; $ 148,05 ; $ 740,27 ;;;0411;PREPIZZA;PLANCHA DE PIZZA;;;;
;;FACTURAS; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;FACTURAS;;;;
0501;FACTURAS;SACRAMENTOS; $ 8.800,00 ; $ 4.290,00 ; $ -   ; $ -   ; $ 4.290,00 ; $ -   ; $ -   ; $ -   ; $ 4.730,00 ; $ -   ; $ -   ; $ 4.620,00 ; $ -   ; $ 4.400,00 ;;; $ 1.562,71 ; $ 390,68 ; $ 1.953,39 ;;;0501;FACTURAS;SACRAMENTOS;;;;
0502;FACTURAS;FACTURAS DOCENA; $ 8.800,00 ; $ 4.290,00 ; $ 4.290,00 ; $ 4.290,00 ; $ 4.290,00 ; $ 4.290,00 ; $ 5.610,00 ; $ 4.290,00 ; $ 4.730,00 ; $ -   ; $ -   ; $ 4.620,00 ; $ 3.850,00 ; $ 4.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0502;FACTURAS;FACTURAS DOCENA;;;;
0503;FACTURAS;MEDIALUNAS MANT; $ 4.500,00 ; $ -   ; $ 3.410,00 ; $ 4.290,00 ; $ 2.090,00 ; $ 2.090,00 ; $ 2.090,00 ; $ 2.090,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0503;FACTURAS;MEDIALUNAS MANT;;;;
0504;FACTURAS;FACTURAS X 1; $ 900,00 ; $ 363,00 ; $ -   ; $ -   ; $ 363,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 450,00 ;;; $ -   ; $ -   ; $ -   ;;;0504;FACTURAS;FACTURAS X 1;;;;
0505;FACTURAS;FACTURAS X 2; $ 1.800,00 ; $ -   ; $ -   ; $ -   ; $ 693,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 900,00 ;;; $ -   ; $ -   ; $ -   ;;;0505;FACTURAS;FACTURAS X 2;;;;
0506;FACTURAS;FACTURAS X 3; $ 2.600,00 ; $ -   ; $ -   ; $ -   ; $ 1.210,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.300,00 ;;; $ -   ; $ -   ; $ -   ;;;0506;FACTURAS;FACTURAS X 3;;;;
0507;FACTURAS;FACTURAS X 4; $ 3.500,00 ; $ -   ; $ -   ; $ -   ; $ 1.430,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.750,00 ;;; $ -   ; $ -   ; $ -   ;;;0507;FACTURAS;FACTURAS X 4;;;;
0508;FACTURAS;FACTURAS X 5; $ 4.500,00 ; $ -   ; $ -   ; $ -   ; $ 1.870,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0508;FACTURAS;FACTURAS X 5;;;;
0509;FACTURAS;FACTURAS X 6; $ 4.500,00 ; $ -   ; $ -   ; $ -   ; $ 2.090,00 ; $ 2.090,00 ; $ 2.090,00 ; $ 2.090,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.250,00 ;;; $ -   ; $ -   ; $ -   ;;;0509;FACTURAS;FACTURAS X 6;;;;
0510;FACTURAS;FACTURAS X 7; $ 5.300,00 ; $ -   ; $ -   ; $ -   ; $ 2.530,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.650,00 ;;; $ -   ; $ -   ; $ -   ;;;0510;FACTURAS;FACTURAS X 7;;;;
0511;FACTURAS;FACTURAS X 8; $ 6.200,00 ; $ -   ; $ -   ; $ -   ; $ 2.860,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.100,00 ;;; $ -   ; $ -   ; $ -   ;;;0511;FACTURAS;FACTURAS X 8;;;;
0512;FACTURAS;FACTURAS X 9; $ 7.000,00 ; $ -   ; $ -   ; $ -   ; $ 3.190,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.500,00 ;;; $ -   ; $ -   ; $ -   ;;;0512;FACTURAS;FACTURAS X 9;;;;
0513;FACTURAS;FACTURAS X 10; $ 7.900,00 ; $ -   ; $ -   ; $ -   ; $ 3.740,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.950,00 ;;; $ -   ; $ -   ; $ -   ;;;0513;FACTURAS;FACTURAS X 10;;;;
0514;FACTURAS;FACTURAS X 11; $ 8.800,00 ; $ -   ; $ -   ; $ -   ; $ 3.960,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.400,00 ;;; $ -   ; $ -   ; $ -   ;;;0514;FACTURAS;FACTURAS X 11;;;;
0515;CONGELADOS;MED CONGLADAS X 12; $ 8.800,00 ; $ 4.290,00 ; $ -   ; $ -   ; $ 4.290,00 ; $ 3.960,00 ; $ 4.290,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.400,00 ;;; $ 157,50 ; $ 39,38 ; $ 196,88 ;;;0515;CONGELADOS;MED CONGLADAS X 12;;;;
0516;FACTURAS;DOCENA TORTITA NEGRA; $ -   ; $ 4.290,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.070,00 ; $ -   ; $ -   ;;; $ 655,45 ; $ 163,86 ; $ 819,31 ;;;0516;FACTURAS;DOCENA TORTITA NEGRA;;;;
0517;CONGELADOS;MED CONGLADAS X LATA (3DOCENAS); $ -   ; $ 15.180,00 ; $ 10.890,00 ; $ -   ; $ 11.990,00 ; $ 13.640,00 ; $ 15.400,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;; $ 551,25 ; $ 137,81 ; $ 689,06 ;;;0517;CONGELADOS;MED CONGLADAS X LATA (3DOCENAS);;;;
0518;CONGELADOS;MED DE GRASA CONGELADAS X LATA (28 UNIDADES); $ -   ; $ 10.120,00 ; $ 10.120,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;0518;CONGELADOS;MED DE GRASA CONGELADAS X LATA (28 UNIDADES);;;;
0519;FACTURAS;BOLAS DE FRAILE; $ 9.700,00 ; $ 4.950,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.970,00 ; $ -   ; $ 4.850,00 ;;; $ 799,45 ; $ 199,86 ; $ 999,32 ;;;0519;FACTURAS;BOLAS DE FRAILE;;;;
0520;FACTURAS;DONAS; $ 9.700,00 ; $ 4.950,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.630,00 ; $ -   ; $ 4.850,00 ;;; $ 1.221,65 ; $ 305,41 ; $ 1.527,06 ;;;0520;FACTURAS;DONAS;;;;
0521;FACTURAS;FACTURAS VIENESAS; $ 1.500,00 ; $ 1.045,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 572,00 ; $ -   ; $ 750,00 ;;; $ 220,90 ; $ 55,23 ; $ 276,13 ;;;0521;FACTURAS;FACTURAS VIENESAS;;;;
0522;FACTURAS;BOLAS DE FRAILE X UNIDAD; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 231,00 ; $ -   ; $ -   ;;;  ;  ;  ;;;0522;FACTURAS;BOLAS DE FRAILE X UNIDAD;;;;
0523;FACTURAS;DONAS X UNIDAD; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 231,00 ; $ -   ; $ -   ;;;  ;  ;  ;;;0523;FACTURAS;DONAS X UNIDAD;;;;
;;; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;;;;;;;
;;SANDWICH ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;SANDWICH ;;;;
